code|Chercheurs _Inserm_ETP|Chercheurs _Inserm_PP|Cherceurs_CNRS_PP|Cherceurs_CNRS_ETP|Chercheurs_autres_ETP|Chercheurs_autres_PP|Post-Doctorants_ETP|Post-Doctorants_PP|Doctorants_ETP|Doctorants_PP|CDI_Chercheurs_ETP|CDI_Chercheurs_PP|CDD_Chercheurs_ETP|CDD_Chercheurs_PP|Ens-Chercheurs_ETP|Ens-Chercheurs_PP|PU-PH_ETP|PU-PH_PP|Hosp-Autres_ETP|Hosp-Autres_PP|IR_Inserm_ETP|IR_Inserm_PP|IR_non_Inserm_ETP|IR_non_Inserm_PP|IngT _ETP|IngT _PP|CDD_IR_ETP|CDD_IR_PP|CDD_Autres_ETP|CDD_Autres_PP|Admin_ETP|Admin_PP
CIC1401|0,9|5|||||0|0|0|0|0,2|2|1,1|2|0,1|1|6,35|49|4,8|12|0,3|1|0,1|1|11,35|17|0|0|3,1|5|2,6|4
CIC1402|||||||0|0|0|0|0|0|0|0|2|4|8,65|27|7,6|8|||||8|9|0|0|3|3||
CIC1403|||||||0|0|3|3|0|0|0|0|||4|9|27,55|30|||1|1|22|25|0|0|3|3|0,5|1
CIC1404|||||||0|0|0|0|0|0|0|0|||1,3|3|1|2|||||6,7|7|0|0|1|1||
CIC1405|||||||0|0|0|0|0|0|0|0|0,55|3|1,35|6|3,5|6|||||3,4|4|0|0|0|0||
CIC1406|||||||0|0|0|0|1|1|0|0|||2,45|15|16,4|19|||||7,9|9|0|0|1|1|0,9|2
CIC1407|||||||0|0|0|0|0|0|0|0|||1,55|4|28,45|31|||||15,05|16|0|0|0|0|2,8|3
CIC1408|||||||0|0|0|0|0|0|0|0|||3,05|9|2,7|4|||0,5|1|4,2|7|0|0|0,5|1|0,7|1
CIC1409|||||||0,5|1|0|0|0|0|0|0|0,25|1|5,8|21|7,4|11|1|1|||35,4|50|0|0|0|0|4,8|5
CIC1410|||||||0|0|0,5|1|1|1|0|0|0,3|1|5,7|12|3,7|8|||||4,2|5|0|0|0|0|1|1
CIC1411|||||||0|0|0|0|0|0|0|0|||1,45|3|4,5|5|||||5|6|0|0|0|0||
CIC1412|||||||0|0|0|0|0|0|0|0|||0,6|2|4|4|||||51,5|54|0|0|0|0|6,8|7
CIC1413|0,2|1|||||0|0|0|0|0|0|0|0|||3,35|16|39,2|45|||||19,3|33|0|0|2|3|0,95|3
CIC1414|||||||0|0|3,5|4|0,1|1|0|0|1|3|19,5|93|18,85|20|||||42,9|53|0|0|0|0|1,95|5
CIC1415|||||||0|0|0|0|0|0|0|0|0,3|2|2|6|1,4|2|||||11,5|14|0|0|6|6|2,1|3
CIC1416|0,5|2|||||0|0|0|0|0|0|0,2|1|||1,5|8|3,7|7|0,5|1|||8,2|12|0|0|3,4|4||
CIC1417|||||||0|0|0|0|0|0|0|0|||2,3|4|11|11|||||4,5|5|0|0|0|0|1|1
CIC1418|||||||0|0|0|0|0|0|0|0|||1,45|7|5,4|6|||||6,7|9|0|0|0|0|1|1
CIC1419|||||||0|0|0|0|0|0|0|0|0,1|1|1,3|7|2|2|||||1|1|0|0|0|0||
CIC1420|||||||1|2|0|0|0|0|0|0|0,2|2|0,85|5|2,25|4|||||3,5|6|0|0|1|2|0,5|1
CIC1421|||||||0|0|0|0|0|0|0|0|||1,55|3|1|1|||||5,8|6|0|0|0|0|0,2|1
CIC1422|||||||0|0|0|0|0|0|0|0|||2,65|10|7,9|8|||||12|12|1|1|1|1||
CIC1423|0,15|2|||||0|0|0|0|0|0|1,1|2|0,1|1|2,25|13|12,25|23|||0,5|1|15,3|17|0|0|0|0|2,8|3
CIC1424|||||||0|0|0|0|4|4|0|0|||3,8|7|3|3|||||3|3|0|0|2|2||
CIC1425|||||||0|0|0|0|0|0|0|0|||4,8|19|16,15|23|1|1|||13,6|24|0|0|1,15|3||
CIC1426|||||||0|0|0,3|1|0|0|2|2|||0,25|3|11,6|12|||||16|16|0|0|3|4||
CIC1427|||||||0|0|0|0|0|0|0|0|0,2|2|0,75|8|2,5|3|||||6,4|15|0|0|0|0|1,3|3
CIC1428|0,1|1|0,1|1|||0|0|0|0|0|0|0|0|||1|11|2,85|18|||1,3|3|5,05|8|0|0|1,7|3||
CIC1429|||||||0|0|0|0|0|0|0|0|||1,15|2|6|6|||||0,4|1|0|0|0|0||
CIC1430|||||||0|0|0|0|0|0|0|0|1|2|3,95|19|5,6|10|||||22,5|27|0|0|0|0|2|2
CIC1431|||0,2|1|||0|0|2|2|0|0|12,1|14|0,1|1|6,25|23|11,7|21|||||38|52|0|0|0|0|2|2
CIC1432|||||||0|0|1,5|2|0|0|0|0|0,1|1|4,95|22|5,3|7|||||24,7|30|0|0|1|1||
CIC1433|0,3|1|||||1|1|1|1|0,8|1|1|1|||2,45|10|12,8|16|||1|1|36|39|0|0|7|7|5,3|6
CIC1434|||||||0|0|0|0|0|0|0|0|||0,8|3|2|2|||||9,4|10|0|0|2|2||
CIC1435|||||||0|0|0|0|0|0|0|0|||1,7|5|9|9|||||22,5|24|1|1|1|1|3|3
CIC1436|||||||0|0|0|0|0|0|0|0|||4,1|16|29,6|33|||||14,1|21|0|0|2|2||
IFR25|||||1|1|0|0|0|0|0|0|0|0|0,75|2|0,3|1|1|1|||||0|0|0|0|0|0||
U1000|3,3|4|||||0,2|1|3|3|0|0|1|1|||0,35|2|3,15|4|||1|1|0,7|1|0|0|2|2||
U1001|2|2|1|1|||3|3|5|5|0|0|1|1|||0,3|1|0|0|2|2|||7,6|8|0|0|0|0||
U1003|3|3|||||0|0|5|5|0|0|0|0|4|7|0,6|2|0|0|1|1|||3|3|0|0|0|0||
U1007|1|1|2|2|||2|2|2,5|3|0|0|0|0|0,5|1|1,15|5|0|0|||||4|4|0|0|0|0||
U1008|||||||0|0|16|16|0|0|0|0|4|8|2,1|5|1|2|||1|1|3|4|0|0|0|0||
U1011|3|3|1|1|||7|7|13,5|14|0|0|6|6|7,4|15|7,6|18|3,2|5|2|2|1|1|18,75|23|1|1|5|5||
U1015|||||||1|1|0|0|2|2|1|1|||0,65|2|0|0|||||2,5|3|0|0|0|0||
U1016|46,7|47|43,3|44|||16|16|69|69|0|0|25|25|3,5|7|20,1|61|2,5|4|4|4|4|4|53,55|55|0|0|27|28||
U1018|19,2|20|||1,2|3|7|7|40,5|42|1,4|2|7,2|8|1,8|6|16,45|39|17,1|24|5|5|||35,8|36|6|6|29,5|30|1|1
U1019|17,3|18|14,6|15|2|2|10|10|17|17|0|0|5|5|4,35|9|3,7|16|1|1|2,9|3|3|3|29,5|30|1|1|5|5||
U1021|5,7|6|6|6|||5|5|16|16|0|0|4|4|2,5|5|1,7|4|2,2|5|||2|2|7|7|1|1|3|3||
U1022|||7,5|8|||0|0|14|14|0|0|0|0|11|22|1,1|4|1,5|4|||||5,3|6|0|0|1|1||
U1023|1,8|2|1|1|1|1|2|2|7|7|0|0|0,3|1|||1|4|12,1|14|1|1|1|1|13,2|16|1|1|1|1||
U1024|22|22|28|28|1|1|17|17|43,5|44|0|0|27|27|6,5|14|0|0|0,5|3|1|1|2|2|13,6|14|5|5|16|16||
U1026|4|4|2|2|||0|0|9|9|0|0|0|0|1,5|3|4,5|13|3,3|4|1|1|1|1|6,4|8|3|3|0|0|0,4|1
U1027|4|4|||||7,5|8|21|21|1|2|3,6|5|1,5|4|14,15|49|8,9|14|||2|3|7,2|9|1|1|2|2||
U1028|22,8|23|37,6|38|||7|7|53,5|54|4|4|11|11|8,5|17|21,65|59|6,65|12|4,8|5|11,8|13|49,6|54|1|1|19,5|20||
U1029|4|4|||||2|2|2|2|0|0|4|4|3|5|1,3|5|0|0|||1|1|4|4|0|0|3|3||
U1030|1|1|1|1|||3|3|5|5|0|0|2,5|3|0,5|1|2,4|8|2|2|||||5|5|0|0|0|0||
U1031|2|2|4|4|||2|2|4|4|0|0|0|0|2,5|5|0,6|2|4,1|5|1|1|0,8|1|8,1|9|0|0|2|2||
U1032|6|6|1|1|||1|1|14|14|0|0|2|2|1,5|3|3,05|12|3,35|5|1|1|||6,65|7|0|0|1|1||
U1033|6|6|3|3|||1|1|5|5|0|0|0|0|0,5|1|4|14|2,3|5|1,9|2|||13,6|14|0|0|0|0||
U1034|3|3|||||0|0|2|2|0|0|0|0|3|6|2,75|13|0,1|1|||||4,65|6|0|0|2|2||
U1035|3|3|1|1|||1|1|7|7|1|1|0|0|5,5|11|15|28|3|5|||||13,7|14|0|0|1|1||
U1036|6|6|3|3|1|1|2|2|9|9|0|0|0|0|1,5|3|1,2|4|3|4|1|1|||7,7|8|0|0|2|2||
U1037|24,9|25|13|13|||4|4|41|41|0|0|16|16|9|18|18,9|54|6,6|11|1|1|1|1|32,1|36|2|2|19|19||
U1038|1|1|4|4|||2|2|3|3|0|0|1|1|||0|0|14,6|15|2,8|3|1|1|25,4|26|0|0|5|5||
U1039|4,8|5|||||1|1|2|2|0|0|1|1|0,5|1|5,2|16|2|2|||||3|3|0|0|0|0||
U1041|||||1|1|2|2|1|1|0|0|0|0|1|1|0|0|0|0|||||2|2|0|0|0|0||
U1042|3|3|||||0|0|0|0|0|0|0,5|1|5,8|12|7,1|23|5|5|1|1|||4|4|0|0|0|0||
U1043|12|12|10|10|||7|7|26|26|0|0|7,5|8|3,5|7|9,35|27|0|0|1|1|1|1|17,1|21|0|0|12|12||
U1045|3|3|2|2|||16|16|18|18|0|0|0|0|6|12|12,75|32|0|0|||6|6|25,9|26|0|0|1|1||
U1046|9,8|10|8|8|||2|2|15|15|1|1|0|0|5|10|12,4|34|1,5|2|||||5,3|6|0|0|0|0||
U1047|3|3|||||1|1|3|3|1|1|1|1|0,5|1|1,85|4|1|1|||||0|0|0|0|0|0||
U1048|29,9|30|5,5|6|||0|0|18,65|20|0|0|4|4|9,3|19|13|41|3,5|5|||0,5|1|35,4|37|0|0|5|5|1|1
U1050|13|13|14|14|||6,95|7|14|14|5|5|11|11|4|8|0|0|0|2|||1|1|17,8|18|0|0|7|7||
U1051|13|13|6|6|||2|2|16|16|0|0|2|2|8|16|3,55|20|2,3|3|1|1|||6|6|0|0|7|7||
U1052|40,7|41|20,8|21|||22|22|65,5|66|2|2|13|13|13|25|18,9|58|6,1|14|1|1|3|4|45,8|50|0|0|26|26|0,2|1
U1053|2|2|1|1|||2|2|6|6|0|0|1|1|2|4|6,85|21|1|3|||2|2|13|14|0|0|0|0||
U1054|7|7|16,5|17|1|1|8|8|8|8|0|0|3|3|1,5|3|0|0|0|0|2|2|7,8|8|9,8|10|2|2|6|6||
U1055|||||1|1|0|0|4|4|0|0|0|0|5|10|1,9|7|0|0|1|1|4|4|3|3|0|0|1|1|1|1
U1056|2|2|1|1|||0|0|1|1|1|1|1|1|||5,2|16|0,1|1|||||5|5|0|0|3|3||
U1058|2|2|||||0|0|5|5|0|0|0|0|1|2|5,4|18|4|4|||||13|13|0|0|5,5|6||
U1059|4|4|2|2|||7|7|48|48|0|0|2|2|5,3|12|18,3|63|4,2|14|||5|8|38,1|62|0|0|1|2||
U1060|10,8|11|3|3|6,6|7|3|3|23,1|24|0|0|2|2|9,95|20|17,5|54|1,45|5|3,7|4|0,8|1|21,1|22|1|1|3|3||
U1061|5|5|||||2|2|2,35|3|1|1|2|2|||6,4|16|2,3|5|2,8|3|||9,65|11|1|1|1|1||
U1062|9|9|||5|5|6|6|22,3|23|0|0|0|0|6|12|9,75|32|4,5|5|||2|2|21,8|23|0|0|2|2|1|1
U1063|2|2|1|1|||1|1|8|8|0|0|0|0|1|2|2|8|0,5|1|||1|1|5|5|0|0|0|0||
U1064|9,9|10|2|2|||10,3|11|31,2|35|0|0|3|3|1,75|4|6,9|32|5,15|10|1,4|2|0,1|1|34,4|38|3,7|4|4|4||
U1065|36,7|37|5|5|||4|4|4|4|2|2|5|5|1,8|4|7,05|19|0|0|||1,9|2|11,2|12|1|1|11|11||
U1066|1|1|1|1|||1|1|12|12|0|0|0|0|6|12|2,1|7|1,1|3|||1,5|2|3,1|4|0|0|0|0||
U1067|3|3|3|3|||1|1|7|7|0|0|2|2|1|2|1,5|6|2,2|4|1|1|||3|3|0|0|1|1||
U1068|24|24|27|27|||0|0|2|2|2|2|8|8|1,5|3|6,75|17|3|4|5|5|5|5|33,9|35|4|4|6|6||
U1069|||||||4|4|8|8|0|0|1|1|4,5|9|4,7|14|1,5|2|||||6,8|7|0|0|0|0|1|1
U1070|||||||1|1|6|6|0|0|1|1|2|4|2,55|7|0|0|||||4,2|5|0|0|0|0||
U1071|1|1|||||1|1|6|6|0|0|0|0|3,3|7|3,3|11|0|0|||1|1|9|11|0|0|1|1||
U1072|3|3|3|3|||0|0|4|4|0|0|3|3|2,5|5|0,3|1|0|0|1|1|||6,3|7|0|0|1|1||
U1073|1|1|||||0|0|9|9|0|0|0|0|1|2|6|20|1,2|3|||||7,2|8|0|0|0|0||
U1074|||||||4|4|5|5|0|0|0|0|||0|0|1|1|||||4|4|0|0|0|0|1|1
U1075|1|1|||||2|2|8|8|0|0|0|0|8,05|17|4,6|12|0|0|||||1,9|3|0|0|0|0||
U1077|2,9|3|||||0|0|12|12|0|0|1|1|5,1|11|2,9|10|1,9|3|||||2|3|0|0|1|1||
U1078|5|5|||||1|1|1|1|1|1|1|1|2,8|6|7|18|1,6|4|1|1|||23,8|25|0|0|2|2||
U1081|11|11|12|12|||4|4|25|25|2|2|9|9|3,3|7|12,5|23|4|7|1|1|3|3|26|26|4|4|7|7||
U1082|1|1|1|1|||0|0|5|5|0|0|0|0|1,6|4|6,2|16|2|2|||2|2|5,9|8|0|0|3|3||
U1083|2|2|3|3|||4|4|15|15|0|0|1|1|2,5|5|7,9|22|1|2|||1|1|19|19|0|0|0|0||
U1084|2|2|2|2|||3|3|10|10|0|0|1|1|3|6|2,3|7|0|0|||2|2|5|5|1|1|1|1||
U1085|20,9|21|3|3|||4|4|31|31|7,05|8|1|1|19,9|39|8,95|32|2|4|3,4|4|||21,1|23|5,4|6|15|15|1|1
U1086|0,5|1|1|1|||2|2|14|14|1|1|1|1|4|8|10,75|24|6,9|9|||||20,6|22|0|0|1|1|7|8
U1087|9|9|8|8|||0|0|18|18|1|1|5|5|4,2|9|4,8|16|0,7|2|3|3|1|1|20,1|26|1|1|3|3||
U1089|3|3|||||2|2|4|4|0|0|0|0|0,5|1|0,7|3|2|2|1|1|0,8|1|39,2|41|0|0|0|0|1|1
U1090|3,9|4|3|3|||3|3|14|14|0|0|1|1|3|6|0,3|1|0|0|3|3|0,5|1|2|2|1|1|3|3||
U1091|21|21|28,6|30|||7|7|38,5|39|0|0|12|12|7,65|16|3,2|15|1,2|2|1|1|2|2|15,6|16|3|3|9|9||
U1092|1|1|||||1|1|4|4|0|0|0|0|1|2|2,6|9|1|2|1|1|||2,1|4|1|1|0|0||
U1093|||1|1|||1|1|10|10|0|0|0|0|11|22|3,05|11|2|4|||||7|8|0|0|0|0||
U1094|||||||0|0|10|10|1,2|2|0|0|2,3|5|6|22|2,7|4|||1|1|7|11|0|0|1|1||
U1096|1|1|||||0|0|6|6|0|0|0|0|1|2|11,6|21|1|1|1|1|1|1|5|5|0|0|0|0||
U1097|2|2|1|1|||0|0|1|1|0|0|0|0|||1,4|3|0|0|1|1|||0,8|1|0|0|0|0||
U1098|0|1|||||0|0|10|10|0|0|0|0|4|8|9|30|3,3|5|||||13,4|18|0|0|0|0||
U1099|6|6|2|2|||5,5|6|25,5|26|0|0|1|1|11,9|24|10,15|31|0,5|4|1,6|4|1|1|2|2|0|0|1|1||
U1100|4|4|1|1|||0|0|3|3|0|0|1|1|4,5|9|3|10|0|1|||1,5|2|9,8|10|0|0|2|2|3|3
U1101|3|3|||||5,3|7|14|14|0|0|1,3|2|4,6|10|6,1|17|1,3|2|1|1|2,9|5|3,4|4|0|0|1|1||
U1103|4|4|15|15|||4|4|17|17|0|0|2|2|12|24|4,45|16|0,7|2|3,8|4|4|4|15,6|16|0,4|1|6|6||
U1104|17|18|20,3|22|||4|4|28|28|0|0|1|1|2,5|5|1,1|3|0|1|1|1|3|3|12,1|13|3|3|22,5|23||
U1105|||||||0|0|6|6|0|0|0|0|0,5|1|6|15|1|2|||1|1|1|1|0|0|0|0||
U1106|8|8|5|5|||11|11|14|14|0|0|0|0|1|2|5,9|13|0|1|2|2|3|3|4|4|0|0|3|3||
U1107|1,5|2|||||3|3|17|17|0|0|0|0|11|22|8,25|25|0,45|2|1|1|4|4|9,85|12|0|0|2|2|0,8|1
U1108|||||||4|4|2|2|0|0|0|0|||0|0|1|1|||||1|1|0|0|1|1||
U1109|4|4|1|1|||1|1|2|2|0|0|0|0|1|2|3,6|9|0|0|||3,8|4|13,9|15|0|0|0|0|1|1
U1110|2|2|||||1|1|1|1|0|0|8|8|||0,8|1|0|0|1|1|1|1|6|6|2|2|0|0||
U1111|21|22|11,3|12|1|1|11|11|53|54|0|0|16,3|18|9,25|19|13|45|15,2|24|4,8|5|1|1|58|63|1|1|22|22|1|1
U1112|1|1|||||1|1|6|6|0|0|1|1|||1,4|4|0|0|||1|1|2,5|3|0|0|0|0||
U1113|5,8|6|2|2|||0|0|12|12|0|0|0|0|0,1|1|3,3|19|3|3|||||10,8|11|0|0|0|0||
U1114|2|2|1|1|||1|1|6|6|0|0|0|0|1,5|3|5,6|10|1|1|||||3,9|5|0|0|0|0||
U1116|2|2|||||0|0|3|3|0|0|0|0|1,5|4|7,35|24|0|0|||||1|1|0|0|3|3||
U1117|1|1|||1|1|0|0|2|2|0|0|0|0|||0,8|2|0|0|||||2|2|0|0|2|2|1|1
U1118|3,5|4|||||0|0|5|5|0|0|2|2|1,8|4|0,6|3|0|0|||||4|4|0|0|1|1||
U1119|||1|1|||5|5|1|1|0|0|0|0|1,5|3|2,9|7|2|3|||1|1|5,5|6|0|0|0|0||
U1120|2|2|4|4|1|1|4|4|2|2|1|1|2|2|1,5|2|2,8|9|4|5|2|2|2|2|7,5|8|0|0|0|0||
U1121|1|1|||||0,5|1|6|6|0|0|0|0|2,5|5|2|7|1|3|2|2|||12|12|0|0|1|1||
U1122|1|1|||||2|2|1|1|0|0|3|3|0,75|2|1,6|3|1,25|2|1|1|||1|1|0|0|0|0||
U1123|||||||0,3|1|3|3|0|0|1,3|2|0,7|2|7,6|23|2,5|8|||||7,25|10|1|1|6|6|0,2|1
U1124|6|6|7|7|||1|1|11|11|0|0|0|0|10|20|2,7|12|0|6|||2|2|11,5|12|0|0|1|1||
U1125|||||||0|0|1|1|0|0|0|0|2,6|4|2,05|7|1|1|||||3|3|0|0|0|0||
U1126|2|2|1|1|||0|0|4|4|0|0|1|1|0,5|1|1,2|4|0|1|||||2|2|0|0|0|0||
U1127|28,7|29|22,05|23|1|1|15,3|16|32|32|0|0|15|15|4,7|10|22,1|66|9,1|17|4,8|5|2|2|22|23|2|2|16|16||
U1128|1|1|||||1|1|2|2|0|0|3|3|||0|0|0|0|1|1|||0|0|0|0|2|2||
U1129|1|1|||||0|0|6,5|7|1|1|0|0|2,1|5|2,9|9|2,55|11|||||1,15|2|0|0|2|2||
U1130|15,7|16|19,9|20|||8|8|23|23|0|0|1|1|12,5|23|0,3|1|0|1|||1|1|17|17|0|0|1|1||
U1131|3|3|||||0|0|1|1|0|0|4|4|||3,2|11|2|2|||||4,8|6|0|0|6|6||
U1132|2|2|||||0|0|2|2|0|0|1|1|0,5|1|3,2|8|0|0|||||0|0|0|0|1|1||
U1133|1|1|2|2|||0|0|3|3|0|0|0|0|2,85|5|0,65|3|0|1|||||2|2|0|0|0|0||
U1134|7|7|3|3|||2|2|16|16|0|0|2|2|4,5|9|3,2|6|2,5|5|2,9|3|||13|13|0|0|2|2||
U1135|11,75|12|3|3|||4|4|11|11|0|0|6|6|5|10|16,3|45|1,35|3|3,8|4|2|2|23,3|24|0|0|4|4||
U1136|14|14|||||9,1|10|25|25|8|8|4,1|5|2,7|7|22,2|52|8,95|16|4|4|1|1|16,8|18|10,5|11|50,5|51||
U1137|3|3|||||2|2|11|11|0|0|1|1|1|2|22,95|76|4,4|7|2|2|1|1|5,95|9|2|2|3,4|6||
U1138|32,8|33|10,5|11|||11|12|53,3|55|2|2|15|15|10,1|21|18,7|55|7,35|21|1,8|2|5,8|6|59,8|62|2|2|15,5|16|2,8|3
U1139|2|2|||||2|2|5|5|0|0|0|0|2,5|5|2,8|9|0,3|1|||||3|3|0|0|0|0||
U1140|4|4|2|2|||0|0|5|5|0|0|0|0|0,8|2|5|16|3|4|||1|1|4|4|0|0|1|1||
U1141|4|4|8|8|||1|1|1|1|0|0|1|1|||6,45|17|1,35|2|4|4|1|1|4|4|0|0|0|0||
U1142|4|4|||||1|1|2|2|0|0|0|0|5,5|11|3,65|12|0|0|||||3,7|5|1|1|1|1||
U1143|5|5|6|6|||18|18|15|15|0|0|0|0|||1|1|0|0|1|1|3|3|3|3|0|0|0|0||
U1144|||1|1|||1|1|7|7|0|0|0|0|3,4|7|7,7|26|2|2|||||9,3|10|0|0|0|0||
U1145|||||||0|0|17|17|0|0|0|0|8,95|19|1,8|6|1,5|3|||||0,75|2|0|0|0|0||
U1146|5|5|7,3|8|||3|3|19|19|0|0|0|0|2|4|5,55|19|0,5|4|4,8|5|4,8|5|4,6|5|0|0|0|0||
U1147|1,6|2|1|1|||2|2|1|1|0|0|0|0|||3,5|12|0,2|2|1|1|2|2|6|6|0|0|0|0||
U1148|8|8|3|3|||7|7|21|21|0|0|2|2|8,3|17|12,7|46|7,4|18|||1,5|2|17,4|19|0|0|3|3||
U1149|14,5|15|6|6|||4|4|9|9|0|0|7,25|8|2,25|5|18,1|66|2,5|7|1|1|||12,8|14|0|0|4|4||
U1150|1|1|1,05|2|||0|0|11|11|0|0|0|0|3,5|7|0,75|3|0|0|||1,25|2|1,25|2|0|0|0|0||
U1151|21|21|9,5|10|||13|13|19|19|0|0|14|14|2,8|6|10,05|34|0,8|6|||1|1|35,5|37|1|1|7|7|1|1
U1152|3|3|1|1|||3|3|1|1|0|0|3|3|1,5|3|3,25|17|0|0|||||5|5|0|0|0|0||
