|Chercheurs _Inserm_ETP|Chercheurs _Inserm_PP|Cherceurs_CNRS_ETP|Cherceurs_CNRS_ETP|Chercheurs_autres_ETP|Chercheurs_autres_PP|Post-Doctorants_ETP|Post-Doctorants_PP|Doctorants_ETP|Doctorants_PP|CDI_Chercheurs_ETP|CDI_Chercheurs_PP|CDD_Chercheurs_ETP|CDD_Chercheurs_PP|Ens-Chercheurs_ETP|Ens-Chercheurs_PP|PU-PH_ETP|PU-PH_PP|Hosp-Autres_ETP|Hosp-Autres_PP|IR_Inserm_ETP|IR_Inserm_PP|IR_non_Inserm_ETP|IR_non_Inserm_PP|IngT _ETP|IngT _PP|CDD_IR_ETP|CDD_IR_PP|CDD_Autres_ETP|CDD_Autres_PP|Admin_ETP|Admin_PP|etp_total
CIC1401-1|||||||0|0|0|0|0|0|0|0|||1,1|2|0|0|||||4,5|5|0|0|2|2|||7,6
CIC1401-2|0,9|5|||||0|0|0|0|0,2|2|1,1|2|0,1|1|3,7|35|2,8|10|0,3|1|0,1|1|2,85|8|0|0|1,1|3|1,6|3|14,75
CIC1401-3|||||||0|0|0|0|0|0|0|0|||1,55|12|2|2|||||4|4|0|0|0|0|1|1|8,55
CIC1402-1|||||||0|0|0|0|0|0|0|0|2|4|8,65|27|7,6|8|||||8|9|0|0|3|3|||29,25
CIC1403-1|||||||0|0|0|0|0|0|0|0|||2,75|6|22,55|25|||1|1|12,7|15|0|0|3|3|0,5|1|42,5
CIC1403-2|||||||0|0|3|3|0|0|0|0|||1,25|3|5|5|||||9,3|10|0|0|0|0|||18,55
CIC1404-1|||||||0|0|0|0|0|0|0|0|||1,3|3|1|2|||||6,7|7|0|0|1|1|||10
CIC1405-1|||||||0|0|0|0|0|0|0|0|0,55|3|1,35|6|3,5|6|||||3,4|4|0|0|0|0|||8,8
CIC1406-1|||||||0|0|0|0|1|1|0|0|||1,7|9|11,4|14|||||5|6|0|0|0|0|0,6|1|19,7
CIC1406-2|||||||0|0|0|0|0|0|0|0|||0,75|6|5|5|||||2,9|3|0|0|1|1|0,3|1|9,95
CIC1407-1|||||||0|0|0|0|0|0|0|0|||1,55|4|28,45|31|||||15,05|16|0|0|0|0|2,8|3|47,85
CIC1408-1|||||||0|0|0|0|0|0|0|0|||3,05|9|2,7|4|||0,5|1|4,2|7|0|0|0,5|1|0,7|1|11,65
CIC1409-1|||||||0,5|1|0|0|0|0|0|0|||4,7|12|7,4|11|1|1|||32,7|43|0|0|0|0|4,8|5|51,1
CIC1409-2|||||||0|0|0|0|0|0|0|0|0,25|1|1,1|9|0|0|||||2,7|7|0|0|0|0|||4,05
CIC1410-1|||||||0|0|0,5|1|1|1|0|0|0,3|1|5,7|12|3,7|8|||||4,2|5|0|0|0|0|1|1|16,4
CIC1411-1|||||||0|0|0|0|0|0|0|0|||1,45|3|4,5|5|||||5|6|0|0|0|0|||10,95
CIC1412-1|||||||0|0|0|0|0|0|0|0|||0,6|2|4|4|||||51,5|54|0|0|0|0|6,8|7|62,9
CIC1413-1|||||||0|0|0|0|0|0|0|0|||2,55|10|32,1|35|||||13|17|0|0|0|0|||47,65
CIC1413-2|0,2|1|||||0|0|0|0|0|0|0|0|||0,8|6|7,1|10|||||6,3|16|0|0|2|3|0,95|3|17,35
CIC1414-1|||||||0|0|3|3|0,1|1|0|0|0,75|2|17,8|76|13,25|14|||||38,35|47|0|0|0|0|1,1|3|74,35
CIC1414-2|||||||0|0|0,5|1|0|0|0|0|0,25|1|1,7|17|5,6|6|||||4,55|6|0|0|0|0|0,85|2|13,45
CIC1415-1|||||||0|0|0|0|0|0|0|0|0,1|1|1,7|4|0,5|1|||||10,1|11|0|0|4|4|1,6|2|18
CIC1415-2|||||||0|0|0|0|0|0|0|0|0,2|1|0,3|2|0,9|1|||||1,4|3|0|0|2|2|0,5|1|5,3
CIC1416-1|0,5|2|||||0|0|0|0|0|0|0,2|1|||1,5|8|3,7|7|0,5|1|||8,2|12|0|0|3,4|4|||18
CIC1417-1|||||||0|0|0|0|0|0|0|0|||2,3|4|11|11|||||4,5|5|0|0|0|0|1|1|18,8
CIC1418-1|||||||0|0|0|0|0|0|0|0|||0,9|4|2,4|3|||||4,1|5|0|0|0|0|1|1|8,4
CIC1418-2|||||||0|0|0|0|0|0|0|0|||0,55|3|3|3|||||2,6|4|0|0|0|0|||6,15
CIC1419-1|||||||0|0|0|0|0|0|0|0|0,1|1|1,3|7|2|2|||||1|1|0|0|0|0|||4,4
CIC1420-1|||||||1|2|0|0|0|0|0|0|0,2|2|0,85|5|2,25|4|||||3,5|6|0|0|1|2|0,5|1|9,3
CIC1421-1|||||||0|0|0|0|0|0|0|0|||1,55|3|1|1|||||5,8|6|0|0|0|0|0,2|1|8,55
CIC1422-1|||||||0|0|0|0|0|0|0|0|||2,65|10|7,9|8|||||12|12|1|1|1|1|||24,55
CIC1423-1|0,15|2|||||0|0|0|0|0|0|1,1|2|0,1|1|2,25|13|12,25|23|||0,5|1|15,3|17|0|0|0|0|2,8|3|34,45
CIC1424-1|||||||0|0|0|0|4|4|0|0|||3,8|7|3|3|||||3|3|0|0|2|2|||15,8
CIC1425-1|||||||0|0|0|0|0|0|0|0|||2,4|9|8|11|1|1|||6,8|12|0|0|0,5|1|||18,7
CIC1425-2|||||||0|0|0|0|0|0|0|0|||2,4|10|8,15|12|||||6,8|12|0|0|0,65|2|||18
CIC1426-1|||||||0|0|0,3|1|0|0|1|1|||0,1|1|5,8|6|||||8|8|0|0|1,5|2|||16,7
CIC1426-2|||||||0|0|0|0|0|0|1|1|||0,15|2|5,8|6|||||8|8|0|0|1,5|2|||16,45
CIC1427-1|||||||0|0|0|0|0|0|0|0|0,1|1|0,15|2|2|2|||||4|4|0|0|0|0|1|1|7,25
CIC1427-2|||||||0|0|0|0|0|0|0|0|0,1|1|0,6|6|0,5|1|||||2,4|11|0|0|0|0|0,3|2|3,9
CIC1428-1|0,1|1|0,1|1|||0|0|0|0|0|0|0|0|||1|11|2,85|18|||1,3|3|5,05|8|0|0|1,7|3|||12,1
CIC1429-1|||||||0|0|0|0|0|0|0|0|||1,15|2|6|6|||||0,4|1|0|0|0|0|||7,55
CIC1430-1|||||||0|0|0|0|0|0|0|0|0,5|1|1,5|7|2,8|5|||||11|13|0|0|0|0|1|1|16,8
CIC1430-2|||||||0|0|0|0|0|0|0|0|0,5|1|2,45|12|2,8|5|||||11,5|14|0|0|0|0|1|1|18,25
CIC1431-1|||||||0|0|0|0|0|0|4,8|5|||3,7|16|5,8|10|||||18,3|28|0|0|0|0|1|1|33,6
CIC1431-2|||0,2|1|||0|0|2|2|0|0|7,3|9|0,1|1|2,55|7|5,9|11|||||19,7|24|0|0|0|0|1|1|38,75
CIC1432-1|||||||0|0|1|1|0|0|0|0|0,1|1|2,55|12|1,7|2|||||7,3|9|0|0|0|0|||12,65
CIC1432-2|||||||0|0|0,5|1|0|0|0|0|||2,4|10|3,6|5|||||17,4|21|0|0|1|1|||24,9
CIC1433-1|||||||0|0|1|1|0,8|1|1|1|||0,75|6|1,3|3|||||10,2|11|0|0|5|5|||20,05
CIC1433-2|||||||0|0|0|0|0|0|0|0|||1,6|3|10,5|12|||||17,9|19|0|0|1|1|4,3|5|35,3
CIC1433-3|0,3|1|||||1|1|0|0|0|0|0|0|||0,1|1|1|1|||1|1|7,9|9|0|0|1|1|1|1|13,3
CIC1434-1|||||||0|0|0|0|0|0|0|0|||0,8|3|2|2|||||9,4|10|0|0|2|2|||14,2
CIC1435-1|||||||0|0|0|0|0|0|0|0|||1,7|5|9|9|||||22,5|24|1|1|1|1|3|3|38,2
CIC1436-1|||||||0|0|0|0|0|0|0|0|||3,5|12|28,6|32|||||13,6|20|0|0|1|1|||46,7
CIC1436-2|||||||0|0|0|0|0|0|0|0|||0,6|4|1|1|||||0,5|1|0|0|1|1|||3,1
IFR25-1|||||1|1|0|0|0|0|0|0|0|0|||0|0|1|1|||||0|0|0|0|0|0|||2
IFR25-2|||||||0|0|0|0|0|0|0|0|||0,3|1|0|0|||||0|0|0|0|0|0|||0,3
IFR25-3|||||||0|0|0|0|0|0|0|0|0,75|2|0|0|0|0|||||0|0|0|0|0|0|||0,75
U604-1|||||1|1|4|4|1|1|0|0|0|0|0,5|1|0|0|2|2|||||5|5|0|0|0|0|||13,5
U830-1|2|2|||||2|2|4|4|0|0|0|0|||0|0|0|0|||1|1|2|2|0|0|0|0|||11
U830-2|||1|1|||6|6|2|2|0|0|0|0|||0,3|1|0|0|1|1|||2|2|0|0|0|0|||12,3
U830-3|2|2|||||4|4|6|6|1|1|0|0|||2,3|3|0|0|1|1|6,5|7|8,5|9|0|0|0|0|||31,3
U830-5|2|2|||||2|2|2|2|0|0|0|0|||0,6|2|0|0|||1|1|3|3|0|0|0|0|||10,6
U830-6|1|1|||||0|0|0|0|0|0|0|0|||0|0|0|0|||||1|1|0|0|0|0|||2
U839-1|3|3|||||1|1|1|1|0|0|1|1|0,5|1|0|0|0|0|||||1|1|0|0|0|0|||7,5
U839-2|||3|3|||1|1|3|3|0|0|1|1|1|2|0|0|0|0|||||2|2|0|0|0|0|||11
U839-3|1|1|1|1|||2|2|1|1|0|0|2|2|1|2|0|0|0|0|||||1|1|0|0|1|1|||10
U839-4|3|3|||||0|0|3|3|0|0|1|1|1|2|0|0|0|0|||||0,8|1|0|0|0|0|||8,8
U839-5|1|1|1|1|||1|1|1|1|0|0|1|1|0,5|1|0|0|0|0|||||1|1|0|0|0|0|||6,5
U839-6|2|2|||||1|1|1|1|0|0|0|0|||0|0|0|0|||||1|1|1|1|0|0|||6
U839-7|1|1|||||1|1|0|0|0|0|0|0|||0|0|0|0|||1|1|0|0|0|0|0|0|||3
U861-1|1|1|||||0|0|1|1|0|0|1|1|0,5|1|0|0|0|0|||||3|3|0|0|0|0|||6,5
U861-2|||||||1|1|0|0|0|0|0|0|0,5|1|0|0|0|0|||1|1|2|2|0|0|0|0|||4,5
U861-3|1|1|||||0|0|2|2|0|0|0|0|||0|0|0|0|0,8|1|||1|1|0|0|1|1|||5,8
U861-4|1|1|||||0|0|4|4|0|0|1|1|0,5|1|0|0|0|0|||||8|8|0|0|1|1|||15,5
U894-1|3|3|||||0|0|2,8|3|0|0|1|1|1,5|3|3,3|9|4|4|||||0|0|0|0|0|0|||15,6
U894-10|||1|1|||1|1|0|0|0|0|1|1|||0|0|0|0|||||0|0|0|0|0|0|||3
U894-2|2|2|2|2|||0|0|0,8|1|0|0|0|0|0,5|1|0|0|0|0|||||0|0|0|0|0|0|||5,3
U894-3|1|1|||||0|0|2,8|3|0|0|1|1|1,5|3|4,95|12|5,6|9|||||2|2|0|0|0|0|||18,85
U894-4|1|1|||||0|0|1,6|2|0|0|1|1|0,75|2|0|0|0|1|||||3,8|4|0|0|0|0|||8,15
U894-5|1|1|||||1|1|1,6|2|0|0|0|0|||3,55|12|0|1|||||2,1|3|0|0|0|0|||9,25
U894-6|||||||2|2|4,6|5|0|0|0|0|4|7|0|0|1,3|2|||1|1|2|2|0|0|0|0|1|1|15,9
U894-7|2,45|3|1|1|||1|1|2|2|0|0|2|2|||0|0|0|1|1|1|||2|2|0|0|1|1|||12,45
U894-8|||1|1|||1|1|2|2|0|0|1|1|||0|0|0|0|||||0|0|0|0|0|0|||5
U894-9|2,45|3|1|1|||1|1|2|2|0|0|2|2|||0|0|0|1|1|1|||2|2|0|0|1|1|||12,45
U900-1|2|2|||||1|1|1|1|0,1|1|0|0|||0|0|1|1|0,5|1|1|1|8|8|0|0|1|1|||15,6
U900-2|||||||0|0|0|0|0,25|1|0|0|||0|0|0,45|2|||0,8|1|0|0|0|0|1|1|||2,5
U900-3|||||||5|5|2,5|3|0|0|0|0|||0|0|1|1|0,5|1|3|3|1|1|0|0|2|2|||15
U900-4|||||||0|0|0|0|0|0|0|0|||0|0|1|1|2|2|11,5|12|10,5|11|0|0|0|0|||25
U900-5|||||||0|0|7|7|0|0|0|0|||0|0|4|4|||||0|0|0|0|0|0|||11
U908-1|1|1|||||1|1|9|9|0|0|0|0|2,5|5|0,7|3|1|1|||||6|6|0|0|1|1|||22,2
U932-1|1,9|2|0,9|1|||4|4|0|0|0|0|0|0|||0|0|0|0|1|1|0,5|1|3|3|0|0|0|0|||11,3
U932-2|1|1|||||1|1|0|0|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||2
U932-3|2|2|||||2|2|0|0|0|0|0|0|||0|0|0|0|||||1|1|0|0|0|0|||5
U932-4|1|1|1|1|||2|2|1|1|0|0|0|0|||0|0|0|0|||||1|1|0|0|0|0|||6
U932-5|||1|1|||0|0|2|2|0|0|1|1|||0|0|0|0|||||1|1|0|0|0|0|||5
U932-6|2|2|||||1|1|0|0|0|0|0|0|||0,9|1|0|0|||0,5|1|2,75|3|0|0|0|0|||7,15
U932-7|||||||2,5|3|2|2|0|0|0|0|||0|0|1|1|||||0,8|1|0|0|1|1|||7,3
U932-8|1|1|||||1|1|1|1|0|0|0|0|||0|0|0|0|||||0|0|0|0|1|1|||4
U933-1|1|1|||||0|0|3|3|1|1|3|3|0,5|1|4,45|13|1,3|2|||||2,8|4|5|5|6|6|||28,05
U934-1|||3|3|||3|3|1|1|0|0|0|0|0,5|1|0|0|0|0|||2|2|3|3|0|0|0|0|||12,5
U934-10|||1|1|||1|1|0|0|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||2
U934-2|2|2|1|1|||4|4|1|1|0|0|0|0|1|1|0,3|1|0|0|||3|3|5|5|0|0|0|0|||17,3
U934-4|1|1|1|1|||3|3|1|1|0|0|0|0|||0|0|0|0|||||1|1|0|0|0|0|||7
U934-5|1|1|||||3|3|1|1|0|0|0|0|||0|0|0|0|||||3|3|0|0|0|0|||8
U934-6|1|1|||||3|3|1|1|0|0|0|0|||0|0|0|0|||||4,5|5|0|0|0|0|||9,5
U934-7|1|1|2|2|||2|2|0|0|0|0|0|0|||0|0|0|0|||||1|1|0|0|0|0|||6
U934-8|1|1|||||3|3|2,5|3|0|0|0|0|||0|0|0|0|||||1|1|0|0|0|0|||7,5
U934-9|1|1|||||1|1|1|1|0|0|0|0|||0|0|0|0|||1|1|0|0|0|0|0|0|||4
U935-1|1|1|||||0|0|1|1|0|0|0|0|||0,9|2|0|0|||||0|0|0|0|0|0|||2,9
U935-2|2|2|||||0|0|2|2|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||4
U935-3|||||1|1|0|0|2|2|0|0|0|0|0,5|1|3,8|8|0,6|1|||||2,8|3|0|0|1|1|||11,7
U935-4|1|1|||||0|0|0|0|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||1
U935-5|||||||0|0|0|0|0|0|1|1|||0|0|0|0|||||0|0|0|0|0|0|||1
U938-1|2|2|1|1|||0|0|0|0|0|0|0|0|0,5|1|2,1|8|0|1|1|1|||3,4|4|0|0|0|0|||10
U938-10|2|2|1|1|||0|0|0|0|0|0|0|0|1|2|3,8|13|0,3|2|||||5,3|6|0|0|0|0|||13,4
U938-11|1|1|||||0|0|0|0|0|0|0|0|||0,95|4|0,6|2|||||0|0|0|0|0|0|||2,55
U938-12|2|2|1|1|||1|1|1|1|0|0|0|0|0,9|2|1,7|6|0|1|||||1,8|2|0|0|0|0|||9,4
U938-13|1|1|||||0|0|0|0|0|0|1|1|0,25|1|0,9|2|0|1|||||1|1|0|0|1|1|||5,15
U938-14|2|2|||||0|0|0|0|1|1|0|0|||0|0|0|0|||||2|2|0|0|0|0|||5
U938-2|1,9|2|||||0|0|1|1|0|0|0|0|||1,75|6|0,2|1|||||4,8|5|0|0|1|1|||10,65
U938-3|3|3|1|1|||0|0|0|0|0|0|0|0|||0|0|0|0|||||2|2|0|0|0|0|||6
U938-4|||2|2|||0|0|2,5|3|0|0|0|0|0,5|1|2,4|13|0|0|1|1|||1|1|0|0|0|0|||9,4
U938-5|1,8|2|||||0|0|2,5|3|0|0|0|0|1|2|3,15|11|0|0|||||4,6|5|0|0|1|1|||14,05
U938-6|||||||0,6|1|0|0|6|6|0|0|||5,75|16|0,8|2|||2|2|7,6|8|0|0|1|1|||23,75
U938-7|1|1|||||0|0|1|1|0|0|0|0|0,5|1|1,65|5|0|0|||||2|2|0|0|0|0|||6,15
U938-8|||||||1|1|1|1|0|0|0|0|1|2|0,9|3|0,1|1|||||1,5|2|0|0|0|0|||5,5
U938-9|2|2|||||0|0|0|0|0|0|0|0|0,5|1|2,1|6|0|1|1|1|||0,8|1|0|0|0|0|||6,4
U941-1|||||||0|0|1|1|0|0|0|0|||2,8|8|0|0|||||0|0|0|0|0|0|||3,8
U941-2|1|1|||||0|0|0|0|0|0|0|0|||0|0|0|0|||||2|2|0|0|0|0|||3
U942-1|2|2|0,8|1|||0|0|4,45|5|0|0|1|1|0,3|1|9,1|25|4,3|6|1|1|||4,3|5|0|0|1|1|||28,25
U942-2|||||||1|1|1|1|0|0|0|0|0,3|1|2,4|5|1|1|||||3|3|0|0|0|0|||8,7
U944-1|2|2|3|3|||1|1|1|1|0|0|0|0|1|2|0,8|1|0|0|||2|2|5,8|6|0|0|0|0|||16,6
U944-2|2|2|||||0|0|1|1|0|0|0|0|||0|0|0|0|||||2|2|0|0|0|0|||5
U944-3|1|1|1|1|||1|1|0|0|0|0|1|1|||0|0|0|0|||||0|0|0|0|1|1|||5
U944-4|1|1|||||0|0|1|1|0|0|0|0|1|2|0,6|2|0|0|||||1|1|0|0|0|0|||4,6
U944-5|||3|3|||1|1|2|2|0|0|0|0|1|2|0|0|0|0|||||1|1|0|0|0|0|||8
U944-6|||||||1|1|0|0|0|0|1|1|||0,6|2|0|0|||||5|5|0|0|0|0|||7,6
U944-7|1|1|||||0|0|0|0|0|0|2|2|||0,3|1|0|0|||||0|0|0|0|0|0|||3,3
U946-1|5|5|||||0|0|3|3|0|0|1|1|||0,3|1|1|1|1|1|||1,8|2|0|0|0|0|||13,1
U951-1|0|1|||||5|5|5,5|6|0|0|0|0|2|4|0|0|3|3|||||11,8|12|0|0|0|0|||27,3
U951-2|2|2|1|1|||6|6|5|5|0|0|1|1|||0|0|3|3|||||10|10|0|0|1|1|||29
U955-1|||1|1|||0|0|0|0|0|0|0|0|||1|3|1,3|2|||||2|2|0|0|0|0|1|1|6,3
U955-10|||3|3|||0|0|0|0|2|2|2|2|4,1|9|2,9|10|6,5|9|||1|1|9|9|0|0|4,5|5|1|1|36
U955-12|2|2|||||0|0|0|0|0|0|1|1|||0|0|0|0|||||1|1|0|0|0|0|||4
U955-13|1|1|1,5|2|||0|0|3|3|0|0|0|0|||4,9|12|2,2|3|||||0|0|0|0|0|0|||12,6
U955-14|||||||0|0|0|0|0|0|0|0|||0,9|4|1|1|||||0|0|0|0|1|1|||2,9
U955-15|1|1|||||1,6|2|4|4|1|1|0|0|0,5|1|4,3|13|2,3|3|||||1|1|0|0|1|1|||16,7
U955-16|||||||3,65|4|3|3|0|0|1|1|1,5|3|1,1|4|0,7|5|2|2|2,9|3|4,7|5|0|0|4,5|5|1,1|2|26,15
U955-18|1|1|||||0|0|1,25|2|0|0|2|2|1|2|5,95|15|0,3|1|1|1|||4|5|0|0|3|3|||19,5
U955-2|3|3|||||0|0|0|0|0|0|0|0|0,3|1|1,85|8|0|0|1|1|||7,3|8|0|0|1,5|2|||14,95
U955-21|1|1|||||0|0|2|2|1|1|1|1|0,8|2|4,2|11|0|0|||||2,5|3|0|0|0|0|||12,5
U955-3|2|2|1|1|||0|0|2|2|0|0|0|0|2|6|2,45|8|0|0|||||3|3|0|0|0|0|||12,45
U955-4|1|1|||||1|1|0|0|0|0|1|1|1,2|2|2,4|8|0|0|||||3|3|0|0|0|0|||9,6
U955-5|||||||0|0|1|1|0|0|0|0|0,5|1|2,3|6|0|0|||2|2|2|2|0|0|0|0|||7,8
U955-6|1|1|1,5|2|||0|0|0|0|0|0|0|0|0,5|1|0|0|0|0|||1|1|1|1|0|0|0|0|||5
U955-7|||1|1|||0|0|0|0|0|0|1|1|2,6|6|1,9|7|1|1|||1|1|2,3|3|0|0|0|0|||10,8
U955-8|||||||0,25|1|3|3|0|0|2|2|0,5|1|1,4|5|1|1|||1|1|2|3|0|0|0|0|||11,15
U955-9|||||||0|0|0|0|1|1|0|0|||2,8|9|0|0|||||3,7|5|1|1|0|0|||8,5
U958-1|1|1|||||0|0|0|0|0|0|0|0|0,5|1|0,9|4|0|0|0,8|1|1|1|2|2|0|0|0|0|||6,2
U959-1|||1|1|||3|4|3|3|0|0|0|0|0,8|2|2,5|7|1,25|4|||1|1|4,5|7|0|0|0,5|1|||17,55
U960-1|||1|1|||1|1|2|2|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||4
U960-2|||1|1|||2|2|2|2|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||5
U960-3|||1|1|||2|2|3|3|0|0|0|0|||0|0|0|0|||||2|2|0|0|1|1|||9
U960-4|2|2|||||3|3|4|4|0|0|0|0|||0|0|0|0|||||0|0|0|0|1|1|||10
U960-5|||2|2|||1|1|5|5|0|0|0|0|||0|0|0|0|||||0|0|0|0|1|1|||9
U960-6|1|1|||||1|1|5|5|0|0|0|0|||0|0|1|1|||||1|1|0|0|0|0|||9
U960-7|||||||0|0|0|0|0|0|2|2|||0|0|0|0|||||1,5|2|0|0|0|0|||3,5
U960-8|1|1|||||0|0|0|0|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||1
U965-1|||1|1|||0|0|6|6|0|0|1|1|0,25|1|6,4|14|10,6|12|||||1|1|0|0|0|0|||26,25
U967-1|||||||1|1|3|3|0|0|0|0|1,5|3|0,3|1|2|3|||||3|3|0|0|0|0|||10,8
U967-11|||||||0|0|0|0|0|0|1|1|||0|0|0|0|||||0|0|0|0|0|0|||1
U967-2|2|2|||||1|1|3|3|0|0|0|0|1|2|0|0|1|1|||||1|1|1|1|0|0|||10
U967-3|||||||0|0|3|3|0|0|0|0|||0|0|5|5|||||2|2|0|0|1|1|||11
U967-4|2|2|||||1|1|2|2|0|0|1|1|0,5|1|0|0|7|7|||||1|1|0|0|0|0|||14,5
U967-5|||||||0|0|3|3|0|0|1|1|||0|0|3|3|||||1|1|0|0|0|0|||8
U967-6|||||||0|0|2|2|1|1|1|1|||0|0|2|2|||||0|0|0|0|0|0|||6
U967-7|||||||0|0|1|1|0|0|0|0|||0|0|1|1|||||1|1|0|0|1|1|||4
U967-8|||||||0|0|1|1|0|0|0|0|||0|0|3|3|||||3|3|0|0|1|1|||8
U967-9|||||||0|0|2|2|0|0|0|0|||0|0|7|7|||||1|1|0|0|0|0|||10
U968-1|1|1|1,2|2|||1|1|3|3|1|1|0|0|0,5|1|0,5|2|0|0|||2|2|2|2|0|0|0|0|||12,2
U968-10|1|1|||||1|1|3|3|0|0|0|0|||0|0|0|0|||||5|5|0|0|1|1|||11
U968-11|||1|1|||2|2|1|1|0|0|0|0|||0|0|0|0|||||2|2|0|0|0|0|||6
U968-12|1|1|||||0|0|3|3|0|0|0|0|0,5|1|0|0|0|0|||1|1|1|1|0|0|0|0|||6,5
U968-13|||||||0|0|0|0|0|0|0|0|||0,5|1|0|0|||||0|0|0|0|0|0|||0,5
